1	1
3	3
5	1
6	1
7	2
8	1
9	2
11	1
12	1
14	3
15	3
16	1
17	1
18	1
19	1
23	2
25	1
29	2
30	2
32	1
36	1
37	2
38	1
39	1
40	1
41	1
42	1
43	1
45	1
46	1
48	8
49	1
50	2
54	3
56	2
58	1
60	3
62	1
67	1
69	2
70	2
71	2
72	1
73	2
76	3
77	1
79	1
80	1
81	2
83	2
86	2
87	1
88	2
90	1
91	1
92	1
93	1
94	1
96	2
98	3
100	1
101	2
103	1
105	1
106	2
109	1
110	1
112	2
113	3
117	1
118	1
119	1
122	1
123	1
126	1
129	1
130	1
132	1
133	2
135	1
136	1
137	1
138	2
139	1
141	2
142	2
144	1
146	1
148	1
150	1
151	1
152	4
154	2
157	1
158	5
159	1
160	4
162	1
163	1
165	1
166	1
168	3
169	1
170	1
171	1
173	2
174	2
175	1
177	1
181	2
183	1
184	1
186	1
187	1
188	2
190	2
191	1
192	1
193	3
195	1
196	1
197	1
199	1
200	1
202	1
203	1
206	1
207	1
211	5
212	4
213	5
216	1
217	1
219	1
220	2
223	2
225	3
227	1
228	2
229	3
230	1
231	1
233	3
234	2
238	2
242	1
245	1
246	1
248	1
257	1
258	2
259	3
261	1
263	2
264	2
267	3
268	2
270	1
271	2
272	1
276	2
278	1
280	1
281	2
282	1
283	1
285	1
287	1
289	1
291	2
292	1
295	1
296	1
299	1
300	1
301	1
302	1
303	1
304	1
307	1
308	1
309	1
310	1
311	1
313	1
314	3
315	2
318	2
319	2
321	3
323	5
325	1
326	1
327	1
329	1
332	1
335	1
336	1
337	3
338	1
340	3
344	2
345	1
347	1
348	1
353	4
355	1
356	2
357	3
360	3
362	1
363	2
364	1
366	2
367	2
368	2
369	1
370	1
372	12
373	1
374	3
375	2
376	2
380	1
382	1
384	1
385	1
386	1
387	1
389	1
391	2
393	1
394	3
395	1
397	1
400	2
401	1
403	1
404	3
410	1
411	3
415	1
417	2
419	1
421	1
425	20
426	2
429	1
433	1
434	1
437	1
438	1
439	1
440	2
442	1
447	3
448	1
454	1
455	1
458	1
460	1
462	2
464	2
465	2
466	1
468	2
469	1
472	1
475	1
476	1
478	1
479	1
480	1
481	1
484	1
485	2
486	4
487	1
494	1
495	1
497	2
500	3
502	1
505	1
508	1
510	1
511	2
513	1
514	2
516	2
519	3
520	1
524	3
527	2
528	1
529	1
530	2
531	2
532	2
534	1
535	23
538	1
539	2
543	2
545	1
547	1
548	1
549	2
550	1
558	1
561	1
562	1
565	1
567	1
569	1
573	1
578	1
579	2
580	1
583	1
584	1
585	1
586	2
588	4
589	1
593	1
594	1
596	4
602	3
603	1
604	1
605	1
607	1
608	1
613	2
614	2
615	1
616	1
620	1
621	2
623	1
626	2
628	2
629	1
630	1
631	1
642	1
643	1
645	1
647	1
649	1
650	1
651	1
653	1
655	2
656	2
657	2
658	2
663	1
664	1
665	3
668	2
669	1
670	1
672	3
674	1
676	2
677	2
679	2
682	1
684	2
686	2
688	1
691	1
693	1
694	3
696	1
697	1
698	2
699	1
700	3
701	1
706	1
710	1
711	2
713	1
716	1
717	3
718	2
719	1
720	2
721	1
722	1
723	1
724	1
725	1
726	3
727	1
728	1
729	1
730	3
731	1
732	1
733	1
734	2
738	2
739	1
740	2
742	1
743	1
744	1
746	1
749	11
751	2
752	1
753	1
754	1
755	2
756	1
757	1
758	2
759	2
762	1
764	1
768	2
769	1
770	1
771	1
772	1
773	1
774	1
775	1
776	1
777	1
778	1
779	1
780	1
782	2
784	1
785	1
787	2
789	1
790	1
794	2
796	1
797	1
799	1
801	3
802	6
803	2
804	2
805	1
810	3
811	2
819	1
822	1
823	1
827	1
832	2
833	1
838	4
840	1
842	2
843	2
844	1
845	2
846	1
847	1
850	2
851	1
852	1
853	1
855	3
856	3
858	1
860	2
861	2
862	2
864	1
865	1
869	2
873	2
874	1
876	2
877	1
878	1
883	1
884	2
885	1
888	1
890	1
891	1
892	1
893	1
894	1
895	1
896	2
898	1
899	1
900	1
901	1
904	2
906	1
907	1
908	1
910	1
913	1
